rank,feature_name,n_total,n_valid_x,valid_fraction,pairwise_n,n_unique,mean,std,min,max,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson,abs_spearman,mutual_information,bootstrap_spearman_median,bootstrap_spearman_ci_low,bootstrap_spearman_ci_high,bootstrap_sign_stability,feature_set_name,feature_family,operation,condition,base_feature,formula_readable,feature_readable,status,recommended,not_recommended_reason
43,ecg_raw_rest_before::before__long__full__hrv_freq__LF_HF_ratio,22,21,0.9545454545454546,21,21,2.1677888690280134,1.9001527365579811,0.6130006665677898,9.25349573244515,-0.08021988390326205,0.7295972546596968,-0.18235180880499977,0.4288626994103679,0.08021988390326205,0.18235180880499977,0.0,-0.17137086007491892,-0.5536507290157571,0.29953263645829115,0.772,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_freq__LF_HF_ratio,absolute value,"LF/HF ratio (before, long, full)",weak,False,low_abs_spearman
44,ecg_orthostatic_before::orthostatic_before__hrv_time__SDNN_ms__percent_delta,22,22,1.0,22,22,76.87356920754975,75.85761395248467,-12.134444062530072,268.32981781833263,0.24848456187158355,0.2648222407817158,0.1805836598064705,0.42127290352925534,0.24848456187158355,0.1805836598064705,0.0263095720772335,0.18526386088484317,-0.2748238291569335,0.5949728961797577,0.794,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__SDNN_ms,percent change,"Orthostatic response before training: SDNN, ms — percent change",weak,False,low_abs_spearman
45,ecg_orthostatic_before::orthostatic_before__hrv_time__SDNN_ms__ratio,22,22,1.0,22,22,1.7687356920754977,0.7585761395248469,0.8786555593746993,3.6832981781833274,0.24848456187158371,0.2648222407817158,0.1805836598064705,0.42127290352925534,0.24848456187158371,0.1805836598064705,0.0263095720772335,0.18526386088484317,-0.2748238291569335,0.5949728961797577,0.794,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__SDNN_ms,ratio,"Orthostatic response before training: SDNN, ms — ratio",weak,False,low_abs_spearman
46,ecg_raw_rest_before::before__long__full__hrv_nonlinear__SD1_SD2_ratio,22,21,0.9545454545454546,21,21,0.4833887764135935,0.18848796226785322,0.2273967153198836,0.9434787290829876,0.0810850161482829,0.7267879658644394,0.1790955265049105,0.43729108188265803,0.0810850161482829,0.1790955265049105,0.0,0.1816697353687275,-0.25102142587581866,0.5443084059638573,0.79,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_nonlinear__SD1_SD2_ratio,absolute value,"SD1/SD2 ratio (before, long, full)",weak,False,low_abs_spearman
47,ecg_baseline_before::baseline_dev_sit_before__hrv_time__RMSSD_ms__robust_z,22,19,0.8636363636363636,19,19,0.35328411095893747,2.201510348527793,-2.4183095151209604,7.693261262923534,0.36147134409899173,0.12835822123160937,0.17766112853608793,0.46682603958593744,0.36147134409899173,0.17766112853608793,0.0860028559331969,0.17176627441329595,-0.39220978421214425,0.702638755078331,0.73,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__RMSSD_ms,robust z-score,"Deviation from personal baseline, sit before training: RMSSD, ms — robust z-score",weak,False,low_abs_spearman
48,ecg_raw_rest_before::before__sit__full__hrv_nonlinear__SD2_ms,22,22,1.0,22,22,45.14788831427301,13.391694169264367,24.75253113986808,89.46943477254764,0.2665097410295474,0.2305636217836094,0.17379054407707348,0.4392371684032902,0.2665097410295474,0.17379054407707348,0.0,0.1469245175660739,-0.3143844830754942,0.5335381313598729,0.736,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_nonlinear__SD2_ms,absolute value,"Poincaré SD2, ms (before, sit, full)",weak,False,low_abs_spearman
49,ecg_raw_rest_before::before__long__full__hrv_nonlinear__SD2_ms,22,21,0.9545454545454546,21,21,72.38502235152116,24.540916502346427,46.56242068473405,139.9094586036697,0.07331778953905939,0.7521268030542684,0.1719317054447141,0.45613781527699376,0.07331778953905939,0.1719317054447141,0.0,0.16716408596185828,-0.24278557215004956,0.6335685881881703,0.774,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_nonlinear__SD2_ms,absolute value,"Poincaré SD2, ms (before, long, full)",weak,False,low_abs_spearman
50,ecg_baseline_before::baseline_dev_sit_before__hrv_time__pNN50_percent__robust_z,22,19,0.8636363636363636,19,19,0.4219563475598133,2.9759377465924826,-3.248090882834313,11.16046995999679,0.39126148199222566,0.09762190524923212,0.17150455477493634,0.4826491881458816,0.39126148199222566,0.17150455477493634,0.005825555593357734,0.16992441073675135,-0.39211264712552707,0.6849244669624976,0.726,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__pNN50_percent,robust z-score,"Deviation from personal baseline, sit before training: pNN50, % — robust z-score",weak,False,low_abs_spearman
51,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__HF_power__delta,22,19,0.8636363636363636,19,19,2.9949810432647373e-05,0.0002586301276515645,-0.0001336498508713,0.0010395926970073,0.34533115349027116,0.1475988833072808,0.17062504423762898,0.48493102053684034,0.34533115349027116,0.17062504423762898,0.04064500600878329,0.18408319835290932,-0.3063205688391183,0.6180610843859136,0.776,ecg_baseline_before,HRV frequency,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_freq__HF_power,difference,"Deviation from personal baseline, sit before training: HF power — difference",weak,False,low_abs_spearman
52,ecg_raw_rest_before::before__sit__full__hrv_time__MeanNN_ms,22,22,1.0,22,22,980.0001277732284,53.062949687436394,882.4650859199803,1108.2402349196973,0.23359904693382852,0.2954298836657294,0.16190259155062875,0.4716273271521455,0.23359904693382852,0.16190259155062875,0.19023012122505523,0.17588472347755843,-0.26608378738901745,0.5308269603046185,0.758,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_time__MeanNN_ms,absolute value,"Mean NN interval, ms (before, sit, full)",weak,False,low_abs_spearman
53,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__LF_HF_ratio__delta,22,19,0.8636363636363636,19,19,0.936183928716589,2.141583845599032,-1.5205135960419935,7.307088663827563,0.07965662857837337,0.7458179359370856,0.16095042832724796,0.5103769961710201,0.07965662857837337,0.16095042832724796,0.0,0.15009057204401355,-0.35403311380718555,0.6031929810801487,0.758,ecg_baseline_before,HRV frequency,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_freq__LF_HF_ratio,difference,"Deviation from personal baseline, sit before training: LF/HF ratio — difference",weak,False,low_abs_spearman
54,ecg_baseline_before::baseline_dev_sit_before__hrv_time__pNN50_percent__delta,22,19,0.8636363636363636,19,18,-0.4336709909852076,11.353120354151212,-12.4616299549395,38.185307017543856,0.34206668698612214,0.15172113312355506,0.16014117055513546,0.5125338114216885,0.34206668698612214,0.16014117055513546,0.0,0.14719282982390444,-0.426649562283415,0.6801982280220177,0.704,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__pNN50_percent,difference,"Deviation from personal baseline, sit before training: pNN50, % — difference",weak,False,low_abs_spearman
55,ecg_raw_rest_before::before__sit__full__hrv_time__MeanHR_bpm,22,22,1.0,22,22,61.48689660366906,3.3461590552125333,54.18979271070497,68.07972997328164,-0.23030051683045824,0.30249618809641343,-0.15454338284378197,0.49226935079969997,0.23030051683045824,0.15454338284378197,0.1640948928171,-0.1674777622165512,-0.5182938698952921,0.2702315281456192,0.76,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_time__MeanHR_bpm,absolute value,"Mean heart rate, bpm (before, sit, full)",weak,False,low_abs_spearman
56,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__HF_power__robust_z,22,19,0.8636363636363636,19,19,0.05974389480204528,3.9402561450609825,-9.317118998169423,13.1424736378829,0.27715422136450535,0.2506578881321091,0.14511923865571538,0.5533362712750811,0.27715422136450535,0.14511923865571538,0.0,0.15012611633521272,-0.38141186224141954,0.6595151617323672,0.714,ecg_baseline_before,HRV frequency,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_freq__HF_power,robust z-score,"Deviation from personal baseline, sit before training: HF power — robust z-score",weak,False,low_abs_spearman
57,ecg_raw_rest_before::before__long__full__hrv_time__MeanHR_bpm,22,21,0.9545454545454546,21,21,61.42505912495664,3.928892475601644,55.31656830764515,73.3157386306437,-0.04730298242095503,0.8386587504597905,-0.14392767766394626,0.5336612039499324,0.04730298242095503,0.14392767766394626,0.01807970560734873,-0.14282394433074214,-0.5850411105286254,0.36050197040498094,0.702,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_time__MeanHR_bpm,absolute value,"Mean heart rate, bpm (before, long, full)",weak,False,low_abs_spearman
58,ecg_orthostatic_before::orthostatic_before__hrv_freq__LF_power__delta,22,22,1.0,22,22,0.00036335612551524155,0.0009532089137148082,-0.000744882798252,0.0038261501055067,0.14914012522959452,0.5077043142728054,-0.1426554303173372,0.526532592985544,0.14914012522959452,0.1426554303173372,0.21288070765273237,-0.15883733798029354,-0.5041789851154763,0.3150899501532857,0.766,ecg_orthostatic_before,HRV frequency,orthostatic_before,Orthostatic response before training,hrv_freq__LF_power,difference,Orthostatic response before training: LF power — difference,weak,False,low_abs_spearman
59,ecg_raw_rest_before::before__sit__full__hrv_nonlinear__SD1_ms,22,22,1.0,22,22,24.001250099431903,5.424198272739941,17.003149053004062,42.957663159284046,0.25222555567158955,0.2574598868188318,0.13925887245263868,0.5365239048476241,0.25222555567158955,0.13925887245263868,0.1396626638130305,0.12593001949811167,-0.331112363478526,0.5201487815499881,0.692,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_nonlinear__SD1_ms,absolute value,"Poincaré SD1, ms (before, sit, full)",weak,False,low_abs_spearman
60,ecg_raw_rest_before::before__sit__full__hrv_freq__LF_HF_ratio,22,22,1.0,22,22,2.0638695386803163,1.9154611517380633,0.3029369404297917,8.40393820712965,0.13986739963331296,0.5347274134792509,0.13925887245263868,0.5365239048476241,0.13986739963331296,0.13925887245263868,0.0,0.12687193602587182,-0.2551665457129484,0.5335174471440989,0.71,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_freq__LF_HF_ratio,absolute value,"LF/HF ratio (before, sit, full)",weak,False,low_abs_spearman
61,ecg_raw_rest_before::before__sit__full__hrv_time__RMSSD_ms,22,22,1.0,22,22,33.66748966776779,7.598472253091748,23.845378227662746,60.21720795001275,0.2515473991983479,0.2587846877897373,0.13642840756538996,0.5449166140033587,0.2515473991983479,0.13642840756538996,0.09951114866151545,0.12400182330150339,-0.3324735794023462,0.5140678830896813,0.688,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_time__RMSSD_ms,absolute value,"RMSSD, ms (before, sit, full)",weak,False,low_abs_spearman
62,ecg_breath_before::breath_in_response_before__hrv_time__MeanNN_ms__percent_delta,22,22,1.0,22,22,-10.646155530222119,8.012342315610615,-28.86561954624782,6.748466257668713,0.027079707805715926,0.9047822708215719,0.13473012863304068,0.5499809282943696,0.027079707805715926,0.13473012863304068,0.0,0.13980981867853196,-0.35771690482834756,0.6004839613498936,0.708,ecg_breath_before,HRV time,breath_in_response_before,Inhale breath-hold response before training,hrv_time__MeanNN_ms,percent change,"Inhale breath-hold response before training: Mean NN interval, ms — percent change",weak,False,low_abs_spearman
63,ecg_breath_before::breath_in_response_before__hrv_time__MeanHR_bpm__delta,22,22,1.0,22,22,6.977478204035458,6.012011901184292,-4.475272522957894,24.145507716575125,0.03564504924509252,0.8748662838911909,-0.13133357076834218,0.5601732302135719,0.03564504924509252,0.13133357076834218,0.0,-0.13287656102189577,-0.6061987661725633,0.3601904075737909,0.7,ecg_breath_before,HRV time,breath_in_response_before,Inhale breath-hold response before training,hrv_time__MeanHR_bpm,difference,"Inhale breath-hold response before training: Mean heart rate, bpm — difference",weak,False,low_abs_spearman
64,ecg_orthostatic_before::orthostatic_before__hrv_time__MeanNN_ms__percent_delta,22,22,1.0,22,22,-21.607199696818682,4.5145932635311175,-30.693756245123684,-13.903390475325232,0.14524784208176095,0.5189662708637772,0.13076747779089246,0.5618801185178562,0.14524784208176095,0.13076747779089246,0.012150624963741974,0.13495923910824534,-0.39268363191086536,0.5685328629780588,0.722,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__MeanNN_ms,percent change,"Orthostatic response before training: Mean NN interval, ms — percent change",weak,False,low_abs_spearman
65,ecg_orthostatic_before::orthostatic_before__hrv_freq__LF_power__ratio,22,22,1.0,22,22,2.771451351603564,4.087926098551151,0.1790076010386238,19.08016805804617,-0.04634399834373317,0.8377333552844132,-0.13076747779089246,0.5618801185178562,0.04634399834373317,0.13076747779089246,0.05514058036750247,-0.14139184657673604,-0.5573999009611994,0.31248645346328346,0.732,ecg_orthostatic_before,HRV frequency,orthostatic_before,Orthostatic response before training,hrv_freq__LF_power,ratio,Orthostatic response before training: LF power — ratio,weak,False,low_abs_spearman
66,ecg_orthostatic_before::orthostatic_before__hrv_time__MeanNN_ms__ratio,22,22,1.0,22,22,0.7839280030318132,0.04514593263531117,0.6930624375487632,0.8609660952467476,0.14524784208176084,0.5189662708637772,0.13076747779089246,0.5618801185178562,0.14524784208176084,0.13076747779089246,0.012150624963741974,0.13495923910824534,-0.39268363191086536,0.5685328629780588,0.722,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__MeanNN_ms,ratio,"Orthostatic response before training: Mean NN interval, ms — ratio",weak,False,low_abs_spearman
67,ecg_orthostatic_before::orthostatic_before__hrv_freq__LF_power__percent_delta,22,22,1.0,22,22,177.14513516035643,408.7926098551151,-82.09923989613762,1808.016805804617,-0.046343998343733143,0.8377333552844138,-0.13076747779089246,0.5618801185178562,0.046343998343733143,0.13076747779089246,0.05514058036750247,-0.14139184657673604,-0.5573999009611994,0.31248645346328346,0.732,ecg_orthostatic_before,HRV frequency,orthostatic_before,Orthostatic response before training,hrv_freq__LF_power,percent change,Orthostatic response before training: LF power — percent change,weak,False,low_abs_spearman
68,ecg_raw_rest_before::before__long__full__hrv_time__MeanNN_ms,22,21,0.9545454545454546,21,21,984.377964081427,58.42196579215388,826.2515736423256,1086.3132070243605,0.049473566282766834,0.8313553225669786,0.12764626616349986,0.581363343304094,0.049473566282766834,0.12764626616349986,0.0,0.11873676571911644,-0.3978008576985931,0.580529823732745,0.676,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_time__MeanNN_ms,absolute value,"Mean NN interval, ms (before, long, full)",weak,False,low_abs_spearman
69,ecg_breath_before::breath_in_response_before__hrv_time__MeanHR_bpm__percent_delta,22,22,1.0,22,22,12.677999716542017,10.805072798367089,-6.471183012057307,40.876647149779984,0.010811830897740097,0.9619131029000791,-0.12170999015169642,0.5895002345393114,0.010811830897740097,0.12170999015169642,0.0,-0.13117706255780065,-0.589981744939364,0.36415651630759027,0.68,ecg_breath_before,HRV time,breath_in_response_before,Inhale breath-hold response before training,hrv_time__MeanHR_bpm,percent change,"Inhale breath-hold response before training: Mean heart rate, bpm — percent change",weak,False,low_abs_spearman
70,ecg_breath_before::breath_in_response_before__hrv_time__SDNN_ms__delta,22,22,1.0,22,22,-29.28446851061166,28.33162766576992,-108.30709546827693,7.244916277730084,-0.0005775575217265097,0.9979647233829435,-0.11378468846739992,0.6141298681311954,0.0005775575217265097,0.11378468846739992,0.022553524203539066,-0.0995330458090597,-0.584281903772504,0.3905306142740503,0.658,ecg_breath_before,HRV time,breath_in_response_before,Inhale breath-hold response before training,hrv_time__SDNN_ms,difference,"Inhale breath-hold response before training: SDNN, ms — difference",weak,False,low_abs_spearman
71,ecg_breath_before::breath_in_response_before__hrv_time__RMSSD_ms__delta,22,22,1.0,22,22,-29.412063953811227,24.327929854726687,-85.23840663184428,9.39264330935714,-0.04491021765222802,0.8426920237595685,-0.1126525025125004,0.6176822474244777,0.04491021765222802,0.1126525025125004,0.008503937426679764,-0.11018445905413515,-0.5807992525460237,0.38549338587365434,0.668,ecg_breath_before,HRV time,breath_in_response_before,Inhale breath-hold response before training,hrv_time__RMSSD_ms,difference,"Inhale breath-hold response before training: RMSSD, ms — difference",weak,False,low_abs_spearman
72,ecg_orthostatic_before::orthostatic_before__hrv_time__MeanHR_bpm__delta,22,22,1.0,22,22,17.773540583064722,5.087644761184558,9.432986141427342,27.439889962436894,-0.14421716791313324,0.5219682220577543,-0.08774441150471138,0.6978053904708604,0.14421716791313324,0.08774441150471138,0.0,-0.09608093229384013,-0.507861815566525,0.36279573340435145,0.648,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__MeanHR_bpm,difference,"Orthostatic response before training: Mean heart rate, bpm — difference",weak,False,low_abs_spearman
73,ecg_raw_rest_before::before__sit__full__hrv_time__pNN50_percent,22,22,1.0,22,21,13.728289385977995,9.896072645620709,1.694915254237288,49.122807017543856,0.27151070457404125,0.2216002312576061,0.08352229805064629,0.711730074662923,0.27151070457404125,0.08352229805064629,0.06354671300491765,0.05950504598075225,-0.38472333576607337,0.44323773377546083,0.6,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_time__pNN50_percent,absolute value,"pNN50, % (before, sit, full)",weak,False,low_abs_spearman
74,ecg_breath_before::breath_in_response_before__hrv_time__SDNN_ms__percent_delta,22,22,1.0,22,22,-57.27021216060021,32.875127401499405,-96.88468229294864,18.95115633469481,0.02228702220588025,0.9215787407656304,0.07812083088806561,0.7296739509912996,0.02228702220588025,0.07812083088806561,0.0,0.09092099037184673,-0.39136198107724934,0.5672399556441433,0.638,ecg_breath_before,HRV time,breath_in_response_before,Inhale breath-hold response before training,hrv_time__SDNN_ms,percent change,"Inhale breath-hold response before training: SDNN, ms — percent change",weak,False,low_abs_spearman
75,ecg_breath_before::breath_in_response_before__hrv_time__MeanNN_ms__delta,22,22,1.0,22,22,-116.58491504940638,88.18791762250726,-325.94014359849314,58.64789933887823,0.048634501569483624,0.8298241465984798,0.07415818004591736,0.7429260453082277,0.048634501569483624,0.07415818004591736,0.0,0.07257873948100751,-0.40993612105684035,0.548810291899089,0.604,ecg_breath_before,HRV time,breath_in_response_before,Inhale breath-hold response before training,hrv_time__MeanNN_ms,difference,"Inhale breath-hold response before training: Mean NN interval, ms — difference",weak,False,low_abs_spearman
76,ecg_orthostatic_before::orthostatic_before__hrv_time__pNN50_percent__delta,22,22,1.0,22,22,-9.647157454568625,7.583755066530965,-28.574861812064405,2.3591387998167663,-0.12157345916522852,0.5899209539421004,-0.06679897133907059,0.7677219465018698,0.12157345916522852,0.06679897133907059,0.07988464005738138,-0.04383451567879024,-0.4688116499836321,0.4380890935590037,0.59,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__pNN50_percent,difference,"Orthostatic response before training: pNN50, % — difference",reject,False,low_abs_spearman;low_bootstrap_stability
77,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__LF_HF_ratio__robust_z,22,19,0.8636363636363636,19,19,0.9612775823704488,2.0385692340894734,-1.4561932244420883,7.328787472436637,-0.042808893680243786,0.8618571716738379,-0.06508377976074507,0.7912296297181562,0.042808893680243786,0.06508377976074507,0.0,-0.08534289191910252,-0.49129871741189435,0.4630178946121899,0.616,ecg_baseline_before,HRV frequency,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_freq__LF_HF_ratio,robust z-score,"Deviation from personal baseline, sit before training: LF/HF ratio — robust z-score",weak,False,low_abs_spearman
78,ecg_raw_rest_before::before__sit__full__hrv_nonlinear__SD1_SD2_ratio,22,22,1.0,22,22,0.5539461816293176,0.1347414907770374,0.3920889284437661,1.0064321704590018,-0.058226039688818426,0.7968848843564906,-0.059439762632223836,0.7927392096619137,0.058226039688818426,0.059439762632223836,0.014720723697293936,-0.027667408873443756,-0.4356828485953608,0.3816120037648224,0.548,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_nonlinear__SD1_SD2_ratio,absolute value,"SD1/SD2 ratio (before, sit, full)",reject,False,low_abs_spearman;low_bootstrap_stability
79,ecg_orthostatic_before::orthostatic_before__hrv_time__MeanNN_ms__delta,22,22,1.0,22,22,-211.47698294815845,44.966700751157546,-313.8423874363714,-141.5443746404169,0.08826334743537854,0.696100277289957,0.05887366965477409,0.7946721298570534,0.08826334743537854,0.05887366965477409,0.0,0.07288327476381651,-0.43262216053473695,0.5652966108121175,0.604,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__MeanNN_ms,difference,"Orthostatic response before training: Mean NN interval, ms — difference",weak,False,low_abs_spearman
80,ecg_raw_rest_before::before__sit__full__morph_t__T_amp,22,15,0.6818181818181818,15,15,48.57165526927905,24.98829637481686,-29.517213184793064,81.17863646848117,0.04556834538795603,0.8718910280382165,0.04851847980899623,0.8636664025344897,0.04556834538795603,0.04851847980899623,0.0,0.009983015841462326,-0.5134283966026286,0.5199660590232892,0.52,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,morph_t__T_amp,absolute value,"T-wave amplitude (before, sit, full)",reject,False,low_abs_spearman;low_bootstrap_stability
81,ecg_raw_rest_before::before__long__full__hrv_freq__LF_power,22,21,0.9545454545454546,21,21,0.0007693370804269237,0.0012001108748651338,0.000175211473687,0.005279074119259,-0.03612292519359874,0.8764666809420436,-0.04558795220124994,0.8444384351550596,0.03612292519359874,0.04558795220124994,0.0,-0.03170979702076146,-0.45666457175376934,0.3230969373025216,0.576,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_freq__LF_power,absolute value,"LF power (before, long, full)",reject,False,low_abs_spearman;low_bootstrap_stability
82,ecg_breath_before::breath_in_response_before__hrv_time__RMSSD_ms__percent_delta,22,22,1.0,22,22,-57.739515609720094,30.99817360626967,-96.07465664010576,20.715663384793057,0.02776835633507057,0.9023718915101618,-0.039626508421482555,0.8610138684572874,0.02776835633507057,0.039626508421482555,0.0,-0.05062960062372119,-0.46674581503753637,0.4496277683580954,0.574,ecg_breath_before,HRV time,breath_in_response_before,Inhale breath-hold response before training,hrv_time__RMSSD_ms,percent change,"Inhale breath-hold response before training: RMSSD, ms — percent change",reject,False,low_abs_spearman;low_bootstrap_stability
83,ecg_raw_rest_before::before__sit__full__hrv_freq__HF_power,22,22,1.0,22,22,0.0002382332272400095,0.0002259548730772272,7.454966421620925e-05,0.001197771370359,0.30005700582661665,0.17486125052825555,0.0367960435342338,0.8708578922765813,0.30005700582661665,0.0367960435342338,0.0628023306165022,0.03910011758352426,-0.33453482490147884,0.45215926264582196,0.584,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_freq__HF_power,absolute value,"HF power (before, sit, full)",reject,False,low_abs_spearman;low_bootstrap_stability
84,ecg_raw_rest_before::before__long__full__morph_qrs__QRS_main_amp,22,7,0.3181818181818182,7,7,355.1802853091721,3.1525832554102298,350.5365100437574,359.0706854924035,-0.2907022392008607,0.5270742718803133,-0.03603749850782236,0.9388605613942139,0.2907022392008607,0.03603749850782236,0.06428571428571472,-0.01818181818181818,-0.8847946725860156,0.9701425001453319,0.503006012024048,ecg_raw_rest_before,ECG raw,absolute,before/long/full,morph_qrs__QRS_main_amp,absolute value,"QRS main amplitude (before, long, full)",reject,False,low_valid_fraction;low_abs_spearman;low_bootstrap_stability
85,ecg_orthostatic_before::orthostatic_before__hrv_time__MeanHR_bpm__ratio,22,22,1.0,22,22,1.2885240911039315,0.0792065705738759,1.1620997080900912,1.448959116038434,-0.11175778347627606,0.6204953969413416,-0.013020138481344269,0.9541411245707293,0.11175778347627606,0.013020138481344269,0.0,-0.02540341789858524,-0.48330741599762583,0.45915158924160093,0.53,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__MeanHR_bpm,ratio,"Orthostatic response before training: Mean heart rate, bpm — ratio",reject,False,low_abs_spearman;low_bootstrap_stability
86,ecg_orthostatic_before::orthostatic_before__hrv_time__MeanHR_bpm__percent_delta,22,22,1.0,22,22,28.85240911039314,7.920657057387585,16.209970809009132,44.8959116038434,-0.111757783476276,0.6204953969413416,-0.013020138481344269,0.9541411245707293,0.111757783476276,0.013020138481344269,0.0,-0.02540341789858524,-0.48330741599762583,0.45915158924160093,0.53,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__MeanHR_bpm,percent change,"Orthostatic response before training: Mean heart rate, bpm — percent change",reject,False,low_abs_spearman;low_bootstrap_stability
