rank,feature_name,n_total,n_valid_x,valid_fraction,pairwise_n,n_unique,mean,std,min,max,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson,abs_spearman,mutual_information,bootstrap_spearman_median,bootstrap_spearman_ci_low,bootstrap_spearman_ci_high,bootstrap_sign_stability,feature_set_name,feature_family,operation,condition,base_feature,formula_readable,feature_readable,formula_family,equivalent_feature_key,status,recommended,not_recommended_reason
39,ecg_orthostatic_before::orthostatic_before__hrv_time__RMSSD_ms__delta,22,21,0.9545454545454546,21,21,-10.45653416664788,6.469171446861105,-26.13730039378942,0.0623283241603189,0.05848144032650371,0.8011952554272835,0.17957093412162672,0.4360551345730355,0.05848144032650371,0.17957093412162672,0.0,0.15884579500890558,-0.333288299732897,0.5493423063986161,0.776,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__RMSSD_ms,difference,"Orthostatic response before training: RMSSD, ms — difference",absolute_change,ecg_orthostatic_before||orthostatic_before||Orthostatic response before training||hrv_time__RMSSD_ms||absolute_change,weak,False,low_abs_spearman
40,ecg_raw_rest_before::before__long__full__hrv_nonlinear__SD1_SD2_ratio,22,21,0.9545454545454546,21,21,0.4833887764135935,0.18848796226785322,0.2273967153198836,0.9434787290829876,0.0810850161482829,0.7267879658644394,0.1790955265049105,0.43729108188265803,0.0810850161482829,0.1790955265049105,0.0,0.1816697353687275,-0.25102142587581866,0.5443084059638573,0.79,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_nonlinear__SD1_SD2_ratio,absolute value,"SD1/SD2 ratio (before, long, full)",SD1_SD2_ratio,ecg_raw_rest_before||absolute||before/long/full||hrv_nonlinear__SD1_SD2_ratio||SD1_SD2_ratio,weak,False,low_abs_spearman
41,ecg_raw_rest_before::before__sit__full__hrv_nonlinear__SD2_ms,22,22,1.0,22,22,45.14788831427301,13.391694169264367,24.75253113986808,89.46943477254764,0.2665097410295474,0.2305636217836094,0.17379054407707348,0.4392371684032902,0.2665097410295474,0.17379054407707348,0.0,0.1469245175660739,-0.3143844830754942,0.5335381313598729,0.736,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_nonlinear__SD2_ms,absolute value,"Poincaré SD2, ms (before, sit, full)",SD2_ms,ecg_raw_rest_before||absolute||before/sit/full||hrv_nonlinear__SD2_ms||SD2_ms,weak,False,low_abs_spearman
42,ecg_raw_rest_before::before__long__full__hrv_nonlinear__SD2_ms,22,21,0.9545454545454546,21,21,72.38502235152116,24.540916502346427,46.56242068473405,139.9094586036697,0.07331778953905939,0.7521268030542684,0.1719317054447141,0.45613781527699376,0.07331778953905939,0.1719317054447141,0.0,0.16716408596185828,-0.24278557215004956,0.6335685881881703,0.774,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_nonlinear__SD2_ms,absolute value,"Poincaré SD2, ms (before, long, full)",SD2_ms,ecg_raw_rest_before||absolute||before/long/full||hrv_nonlinear__SD2_ms||SD2_ms,weak,False,low_abs_spearman
43,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__LF_power__robust_z,22,18,0.8181818181818182,18,18,0.3070858585882837,1.4145087372353233,-1.6174826604414227,3.596521854782318,0.3511446133725402,0.15306116982790935,0.16847565467911294,0.5039619169637307,0.3511446133725402,0.16847565467911294,0.10795680354503912,0.16096388424904634,-0.4348751355202885,0.660270933959061,0.7,ecg_baseline_before,HRV frequency,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_freq__LF_power,robust z-score,"Deviation from personal baseline, sit before training: LF power — robust z-score",normalized_deviation,"ecg_baseline_before||baseline_dev_sit_before||Deviation from personal baseline, sit before training||hrv_freq__LF_power||normalized_deviation",weak,False,low_abs_spearman
44,ecg_raw_rest_before::before__sit__full__hrv_time__MeanNN_ms,22,22,1.0,22,22,980.0001277732284,53.062949687436394,882.4650859199803,1108.2402349196973,0.23359904693382852,0.2954298836657294,0.16190259155062875,0.4716273271521455,0.23359904693382852,0.16190259155062875,0.19023012122505523,0.17588472347755843,-0.26608378738901745,0.5308269603046185,0.758,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_time__MeanNN_ms,absolute value,"Mean NN interval, ms (before, sit, full)",MeanNN_ms,ecg_raw_rest_before||absolute||before/sit/full||hrv_time__MeanNN_ms||MeanNN_ms,weak,False,low_abs_spearman
45,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__LF_HF_ratio__delta,22,19,0.8636363636363636,19,19,0.936183928716589,2.141583845599032,-1.5205135960419935,7.307088663827563,0.07965662857837337,0.7458179359370856,0.16095042832724796,0.5103769961710201,0.07965662857837337,0.16095042832724796,0.0,0.15009057204401355,-0.35403311380718555,0.6031929810801487,0.758,ecg_baseline_before,HRV frequency,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_freq__LF_HF_ratio,difference,"Deviation from personal baseline, sit before training: LF/HF ratio — difference",absolute_change,"ecg_baseline_before||baseline_dev_sit_before||Deviation from personal baseline, sit before training||hrv_freq__LF_HF_ratio||absolute_change",weak,False,low_abs_spearman
46,ecg_raw_rest_before::before__sit__full__hrv_time__MeanHR_bpm,22,22,1.0,22,22,61.48689660366906,3.3461590552125333,54.18979271070497,68.07972997328164,-0.23030051683045824,0.30249618809641343,-0.15454338284378197,0.49226935079969997,0.23030051683045824,0.15454338284378197,0.1640948928171,-0.1674777622165512,-0.5182938698952921,0.2702315281456192,0.76,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_time__MeanHR_bpm,absolute value,"Mean heart rate, bpm (before, sit, full)",MeanHR_bpm,ecg_raw_rest_before||absolute||before/sit/full||hrv_time__MeanHR_bpm||MeanHR_bpm,weak,False,low_abs_spearman
47,ecg_raw_rest_before::before__long__full__hrv_time__MeanHR_bpm,22,21,0.9545454545454546,21,21,61.42505912495664,3.928892475601644,55.31656830764515,73.3157386306437,-0.04730298242095503,0.8386587504597905,-0.14392767766394626,0.5336612039499324,0.04730298242095503,0.14392767766394626,0.01807970560734873,-0.14282394433074214,-0.5850411105286254,0.36050197040498094,0.702,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_time__MeanHR_bpm,absolute value,"Mean heart rate, bpm (before, long, full)",MeanHR_bpm,ecg_raw_rest_before||absolute||before/long/full||hrv_time__MeanHR_bpm||MeanHR_bpm,weak,False,low_abs_spearman
48,ecg_breath_before::breath_in_response_before__hrv_time__MeanNN_ms__percent_delta,22,22,1.0,22,22,-10.646155530222119,8.012342315610615,-28.86561954624782,6.748466257668713,0.027079707805715926,0.9047822708215719,0.13473012863304068,0.5499809282943696,0.027079707805715926,0.13473012863304068,0.0,0.13980981867853196,-0.35771690482834756,0.6004839613498936,0.708,ecg_breath_before,HRV time,breath_in_response_before,Inhale breath-hold response before training,hrv_time__MeanNN_ms,percent change,"Inhale breath-hold response before training: Mean NN interval, ms — percent change",relative_change,ecg_breath_before||breath_in_response_before||Inhale breath-hold response before training||hrv_time__MeanNN_ms||relative_change,weak,False,low_abs_spearman
49,ecg_breath_before::breath_in_response_before__hrv_time__MeanHR_bpm__delta,22,22,1.0,22,22,6.977478204035458,6.012011901184292,-4.475272522957894,24.145507716575125,0.03564504924509252,0.8748662838911909,-0.13133357076834218,0.5601732302135719,0.03564504924509252,0.13133357076834218,0.0,-0.13287656102189577,-0.6061987661725633,0.3601904075737909,0.7,ecg_breath_before,HRV time,breath_in_response_before,Inhale breath-hold response before training,hrv_time__MeanHR_bpm,difference,"Inhale breath-hold response before training: Mean heart rate, bpm — difference",absolute_change,ecg_breath_before||breath_in_response_before||Inhale breath-hold response before training||hrv_time__MeanHR_bpm||absolute_change,weak,False,low_abs_spearman
50,ecg_orthostatic_before::orthostatic_before__hrv_time__MeanNN_ms__percent_delta,22,22,1.0,22,22,-21.607199696818682,4.5145932635311175,-30.693756245123684,-13.903390475325232,0.14524784208176095,0.5189662708637772,0.13076747779089246,0.5618801185178562,0.14524784208176095,0.13076747779089246,0.012150624963741974,0.13495923910824534,-0.39268363191086536,0.5685328629780588,0.722,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__MeanNN_ms,percent change,"Orthostatic response before training: Mean NN interval, ms — percent change",relative_change,ecg_orthostatic_before||orthostatic_before||Orthostatic response before training||hrv_time__MeanNN_ms||relative_change,weak,False,low_abs_spearman
51,ecg_raw_rest_before::before__long__full__hrv_time__MeanNN_ms,22,21,0.9545454545454546,21,21,984.377964081427,58.42196579215388,826.2515736423256,1086.3132070243605,0.049473566282766834,0.8313553225669786,0.12764626616349986,0.581363343304094,0.049473566282766834,0.12764626616349986,0.0,0.11873676571911644,-0.3978008576985931,0.580529823732745,0.676,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_time__MeanNN_ms,absolute value,"Mean NN interval, ms (before, long, full)",MeanNN_ms,ecg_raw_rest_before||absolute||before/long/full||hrv_time__MeanNN_ms||MeanNN_ms,weak,False,low_abs_spearman
52,ecg_breath_before::breath_in_response_before__hrv_time__MeanHR_bpm__percent_delta,22,22,1.0,22,22,12.677999716542017,10.805072798367089,-6.471183012057307,40.876647149779984,0.010811830897740097,0.9619131029000791,-0.12170999015169642,0.5895002345393114,0.010811830897740097,0.12170999015169642,0.0,-0.13117706255780065,-0.589981744939364,0.36415651630759027,0.68,ecg_breath_before,HRV time,breath_in_response_before,Inhale breath-hold response before training,hrv_time__MeanHR_bpm,percent change,"Inhale breath-hold response before training: Mean heart rate, bpm — percent change",relative_change,ecg_breath_before||breath_in_response_before||Inhale breath-hold response before training||hrv_time__MeanHR_bpm||relative_change,weak,False,low_abs_spearman
53,ecg_raw_rest_before::before__sit__full__hrv_freq__LF_HF_ratio,22,21,0.9545454545454546,21,21,1.7619615068493957,1.321707825620975,0.3029369404297917,5.390631737012235,0.1346616986928043,0.5605856752674155,0.11646085944844634,0.6151558452335292,0.1346616986928043,0.11646085944844634,0.0,0.10383278928500346,-0.3886330957504808,0.5042457254015983,0.668,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_freq__LF_HF_ratio,absolute value,"LF/HF ratio (before, sit, full)",LF_HF_ratio,ecg_raw_rest_before||absolute||before/sit/full||hrv_freq__LF_HF_ratio||LF_HF_ratio,weak,False,low_abs_spearman
54,ecg_raw_rest_before::before__long__full__morph_t__T_amp,22,6,0.2727272727272727,6,6,56.9632746278618,11.722519906055934,41.02154687868128,71.82951966859828,0.08941428738480948,0.8662359987270455,0.11595420713048969,0.8268482133858149,0.08941428738480948,0.11595420713048969,0.0,0.11764705882352942,-0.9837387536759294,0.8944271909999161,0.552,ecg_raw_rest_before,ECG raw,absolute,before/long/full,morph_t__T_amp,absolute value,"T-wave amplitude (before, long, full)",T_amp,ecg_raw_rest_before||absolute||before/long/full||morph_t__T_amp||T_amp,reject,False,low_valid_fraction;low_abs_spearman;low_bootstrap_stability
55,ecg_breath_before::breath_in_response_before__hrv_time__SDNN_ms__delta,22,22,1.0,22,22,-29.28446851061166,28.33162766576992,-108.30709546827693,7.244916277730084,-0.0005775575217265097,0.9979647233829435,-0.11378468846739992,0.6141298681311954,0.0005775575217265097,0.11378468846739992,0.022553524203539066,-0.0995330458090597,-0.584281903772504,0.3905306142740503,0.658,ecg_breath_before,HRV time,breath_in_response_before,Inhale breath-hold response before training,hrv_time__SDNN_ms,difference,"Inhale breath-hold response before training: SDNN, ms — difference",absolute_change,ecg_breath_before||breath_in_response_before||Inhale breath-hold response before training||hrv_time__SDNN_ms||absolute_change,weak,False,low_abs_spearman
56,ecg_breath_before::breath_in_response_before__hrv_time__RMSSD_ms__delta,22,22,1.0,22,22,-29.412063953811227,24.327929854726687,-85.23840663184428,9.39264330935714,-0.04491021765222802,0.8426920237595685,-0.1126525025125004,0.6176822474244777,0.04491021765222802,0.1126525025125004,0.008503937426679764,-0.11018445905413515,-0.5807992525460237,0.38549338587365434,0.668,ecg_breath_before,HRV time,breath_in_response_before,Inhale breath-hold response before training,hrv_time__RMSSD_ms,difference,"Inhale breath-hold response before training: RMSSD, ms — difference",absolute_change,ecg_breath_before||breath_in_response_before||Inhale breath-hold response before training||hrv_time__RMSSD_ms||absolute_change,weak,False,low_abs_spearman
57,ecg_orthostatic_before::orthostatic_before__hrv_freq__LF_power__percent_delta,22,21,0.9545454545454546,21,21,99.48457941539161,190.12397914444261,-82.09923989613762,553.7769212229525,0.12267227203765267,0.5962919730469263,-0.09117590440249988,0.6942778041269811,0.12267227203765267,0.09117590440249988,0.13540708231110754,-0.07158060184027196,-0.5388541532149964,0.35537401382541256,0.632,ecg_orthostatic_before,HRV frequency,orthostatic_before,Orthostatic response before training,hrv_freq__LF_power,percent change,Orthostatic response before training: LF power — percent change,relative_change,ecg_orthostatic_before||orthostatic_before||Orthostatic response before training||hrv_freq__LF_power||relative_change,weak,False,low_abs_spearman
58,ecg_orthostatic_before::orthostatic_before__hrv_time__MeanHR_bpm__delta,22,22,1.0,22,22,17.773540583064722,5.087644761184558,9.432986141427342,27.439889962436894,-0.14421716791313324,0.5219682220577543,-0.08774441150471138,0.6978053904708604,0.14421716791313324,0.08774441150471138,0.0,-0.09608093229384013,-0.507861815566525,0.36279573340435145,0.648,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__MeanHR_bpm,difference,"Orthostatic response before training: Mean heart rate, bpm — difference",absolute_change,ecg_orthostatic_before||orthostatic_before||Orthostatic response before training||hrv_time__MeanHR_bpm||absolute_change,weak,False,low_abs_spearman
59,ecg_breath_before::breath_in_response_before__hrv_time__SDNN_ms__percent_delta,22,22,1.0,22,22,-57.27021216060021,32.875127401499405,-96.88468229294864,18.95115633469481,0.02228702220588025,0.9215787407656304,0.07812083088806561,0.7296739509912996,0.02228702220588025,0.07812083088806561,0.0,0.09092099037184673,-0.39136198107724934,0.5672399556441433,0.638,ecg_breath_before,HRV time,breath_in_response_before,Inhale breath-hold response before training,hrv_time__SDNN_ms,percent change,"Inhale breath-hold response before training: SDNN, ms — percent change",relative_change,ecg_breath_before||breath_in_response_before||Inhale breath-hold response before training||hrv_time__SDNN_ms||relative_change,weak,False,low_abs_spearman
60,ecg_raw_rest_before::before__sit__full__hrv_freq__HF_power,22,21,0.9545454545454546,21,21,0.00019254093471053374,7.335214802084513e-05,7.454966421620925e-05,0.000381292153457,-0.0693428434590637,0.765191563673013,-0.07424323644203563,0.7490942631341552,0.0693428434590637,0.07424323644203563,0.07638063956617724,-0.07209595023459688,-0.4297869240643056,0.32810141538278925,0.626,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_freq__HF_power,absolute value,"HF power (before, sit, full)",HF_power,ecg_raw_rest_before||absolute||before/sit/full||hrv_freq__HF_power||HF_power,weak,False,low_abs_spearman
61,ecg_breath_before::breath_in_response_before__hrv_time__MeanNN_ms__delta,22,22,1.0,22,22,-116.58491504940638,88.18791762250726,-325.94014359849314,58.64789933887823,0.048634501569483624,0.8298241465984798,0.07415818004591736,0.7429260453082277,0.048634501569483624,0.07415818004591736,0.0,0.07257873948100751,-0.40993612105684035,0.548810291899089,0.604,ecg_breath_before,HRV time,breath_in_response_before,Inhale breath-hold response before training,hrv_time__MeanNN_ms,difference,"Inhale breath-hold response before training: Mean NN interval, ms — difference",absolute_change,ecg_breath_before||breath_in_response_before||Inhale breath-hold response before training||hrv_time__MeanNN_ms||absolute_change,weak,False,low_abs_spearman
62,ecg_raw_rest_before::before__long__full__hrv_freq__LF_power,22,19,0.8636363636363636,19,19,0.00040865540437842637,0.0001675318038122994,0.000175211473687,0.0008019391774688,-0.1636346559813962,0.5032540723706352,-0.0738463321976123,0.7638367837101719,0.1636346559813962,0.0738463321976123,0.010093604366050668,-0.049789382814203684,-0.47760898033569765,0.32812030953050664,0.594,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_freq__LF_power,absolute value,"LF power (before, long, full)",LF_power,ecg_raw_rest_before||absolute||before/long/full||hrv_freq__LF_power||LF_power,reject,False,low_abs_spearman;low_bootstrap_stability
63,ecg_baseline_before::baseline_dev_sit_before__hrv_time__RMSSD_ms__robust_z,22,18,0.8181818181818182,18,18,-0.05449239748354021,1.3366183365166113,-2.4183095151209604,3.2592312526594864,0.13748123936035583,0.586439149499236,0.07349931924322846,0.7719414313445457,0.13748123936035583,0.07349931924322846,0.08668532810689689,0.07611892768791523,-0.4655641636357772,0.6640080065216829,0.592,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__RMSSD_ms,robust z-score,"Deviation from personal baseline, sit before training: RMSSD, ms — robust z-score",normalized_deviation,"ecg_baseline_before||baseline_dev_sit_before||Deviation from personal baseline, sit before training||hrv_time__RMSSD_ms||normalized_deviation",reject,False,low_abs_spearman;low_bootstrap_stability
64,ecg_raw_rest_before::before__sit__full__morph_t__T_amp,22,14,0.6363636363636364,14,14,54.14943158742705,13.03361264756546,33.51437432553277,81.17863646848117,-0.14693327785661534,0.6161939808414265,-0.0685855814791474,0.8157840934783518,0.14693327785661534,0.0685855814791474,0.0,-0.06865659312897449,-0.5579296940609513,0.5430869143641744,0.582,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,morph_t__T_amp,absolute value,"T-wave amplitude (before, sit, full)",T_amp,ecg_raw_rest_before||absolute||before/sit/full||morph_t__T_amp||T_amp,reject,False,low_abs_spearman;low_bootstrap_stability
65,ecg_orthostatic_before::orthostatic_before__hrv_time__pNN50_percent__delta,22,22,1.0,22,22,-9.647157454568625,7.583755066530965,-28.574861812064405,2.3591387998167663,-0.12157345916522852,0.5899209539421004,-0.06679897133907059,0.7677219465018698,0.12157345916522852,0.06679897133907059,0.07988464005738138,-0.04383451567879024,-0.4688116499836321,0.4380890935590037,0.59,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__pNN50_percent,difference,"Orthostatic response before training: pNN50, % — difference",absolute_change,ecg_orthostatic_before||orthostatic_before||Orthostatic response before training||hrv_time__pNN50_percent||absolute_change,reject,False,low_abs_spearman;low_bootstrap_stability
66,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__HF_power__robust_z,22,17,0.7727272727272727,17,17,-0.15824827285144794,1.1059472072805605,-1.9486552951606464,1.935646818091376,0.05372572947983454,0.8377355128478505,0.0651508915463006,0.8038046604014034,0.05372572947983454,0.0651508915463006,0.0,0.07962762773548887,-0.479842016063262,0.5988389935374193,0.582,ecg_baseline_before,HRV frequency,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_freq__HF_power,robust z-score,"Deviation from personal baseline, sit before training: HF power — robust z-score",normalized_deviation,"ecg_baseline_before||baseline_dev_sit_before||Deviation from personal baseline, sit before training||hrv_freq__HF_power||normalized_deviation",reject,False,low_abs_spearman;low_bootstrap_stability
67,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__LF_HF_ratio__robust_z,22,19,0.8636363636363636,19,19,0.9612775823704488,2.0385692340894734,-1.4561932244420883,7.328787472436637,-0.042808893680243786,0.8618571716738379,-0.06508377976074507,0.7912296297181562,0.042808893680243786,0.06508377976074507,0.0,-0.08534289191910252,-0.49129871741189435,0.4630178946121899,0.616,ecg_baseline_before,HRV frequency,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_freq__LF_HF_ratio,robust z-score,"Deviation from personal baseline, sit before training: LF/HF ratio — robust z-score",normalized_deviation,"ecg_baseline_before||baseline_dev_sit_before||Deviation from personal baseline, sit before training||hrv_freq__LF_HF_ratio||normalized_deviation",weak,False,low_abs_spearman
68,ecg_baseline_before::baseline_dev_sit_before__hrv_time__pNN50_percent__robust_z,22,18,0.8181818181818182,18,18,-0.17462774202001885,1.4889711710020848,-3.248090882834313,3.3093775987493563,0.18064971032847366,0.4731618368920051,0.06211210076892545,0.8065828621101144,0.18064971032847366,0.06211210076892545,0.0,0.06155525765092698,-0.5172143170018999,0.6103541228166025,0.576,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__pNN50_percent,robust z-score,"Deviation from personal baseline, sit before training: pNN50, % — robust z-score",normalized_deviation,"ecg_baseline_before||baseline_dev_sit_before||Deviation from personal baseline, sit before training||hrv_time__pNN50_percent||normalized_deviation",reject,False,low_abs_spearman;low_bootstrap_stability
69,ecg_raw_rest_before::before__sit__full__hrv_nonlinear__SD1_SD2_ratio,22,22,1.0,22,22,0.5539461816293176,0.1347414907770374,0.3920889284437661,1.0064321704590018,-0.058226039688818426,0.7968848843564906,-0.059439762632223836,0.7927392096619137,0.058226039688818426,0.059439762632223836,0.014720723697293936,-0.027667408873443756,-0.4356828485953608,0.3816120037648224,0.548,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_nonlinear__SD1_SD2_ratio,absolute value,"SD1/SD2 ratio (before, sit, full)",SD1_SD2_ratio,ecg_raw_rest_before||absolute||before/sit/full||hrv_nonlinear__SD1_SD2_ratio||SD1_SD2_ratio,reject,False,low_abs_spearman;low_bootstrap_stability
70,ecg_orthostatic_before::orthostatic_before__hrv_time__MeanNN_ms__delta,22,22,1.0,22,22,-211.47698294815845,44.966700751157546,-313.8423874363714,-141.5443746404169,0.08826334743537854,0.696100277289957,0.05887366965477409,0.7946721298570534,0.08826334743537854,0.05887366965477409,0.0,0.07288327476381651,-0.43262216053473695,0.5652966108121175,0.604,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__MeanNN_ms,difference,"Orthostatic response before training: Mean NN interval, ms — difference",absolute_change,ecg_orthostatic_before||orthostatic_before||Orthostatic response before training||hrv_time__MeanNN_ms||absolute_change,weak,False,low_abs_spearman
71,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__HF_power__delta,22,18,0.8181818181818182,18,18,-2.614146104372222e-05,8.677247498904682e-05,-0.0001336498508713,0.000173985693779,0.035834768644555016,0.8877405308928162,0.056936092371515,0.8224470055107224,0.035834768644555016,0.056936092371515,0.0,0.05627563639923509,-0.4042911008875609,0.5563187453198132,0.584,ecg_baseline_before,HRV frequency,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_freq__HF_power,difference,"Deviation from personal baseline, sit before training: HF power — difference",absolute_change,"ecg_baseline_before||baseline_dev_sit_before||Deviation from personal baseline, sit before training||hrv_freq__HF_power||absolute_change",reject,False,low_abs_spearman;low_bootstrap_stability
72,ecg_baseline_before::baseline_dev_sit_before__hrv_time__pNN50_percent__delta,22,18,0.8181818181818182,18,17,-2.579169769236822,6.623477491679258,-12.4616299549395,11.001540832049306,0.09557066790641057,0.7060041347134329,0.05282254890645125,0.8351019678308347,0.09557066790641057,0.05282254890645125,0.0,0.03478575481846463,-0.4808076584556826,0.5960778024333916,0.542,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__pNN50_percent,difference,"Deviation from personal baseline, sit before training: pNN50, % — difference",absolute_change,"ecg_baseline_before||baseline_dev_sit_before||Deviation from personal baseline, sit before training||hrv_time__pNN50_percent||absolute_change",reject,False,low_abs_spearman;low_bootstrap_stability
73,ecg_raw_rest_before::before__sit__full__hrv_nonlinear__SD1_ms,22,21,0.9545454545454546,21,21,23.09856376324847,3.47421339150306,17.003149053004062,32.535574345482885,-0.019930938350430093,0.9316648438752676,0.04754172158130352,0.8378548215597326,0.019930938350430093,0.04754172158130352,0.02746144198488376,0.031195318596089122,-0.41630309383640685,0.43597948447289897,0.556,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_nonlinear__SD1_ms,absolute value,"Poincaré SD1, ms (before, sit, full)",SD1_ms,ecg_raw_rest_before||absolute||before/sit/full||hrv_nonlinear__SD1_ms||SD1_ms,reject,False,low_abs_spearman;low_bootstrap_stability
74,ecg_raw_rest_before::before__sit__full__hrv_time__RMSSD_ms,22,21,0.9545454545454546,21,21,32.40321736861326,4.868361007361398,23.845378227662746,45.62889735033114,-0.02098738320553413,0.9280515267549438,0.044285439281214235,0.8488330903928086,0.02098738320553413,0.044285439281214235,0.049286838810280065,0.025242033376977453,-0.41959346625188787,0.43597948447289897,0.548,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_time__RMSSD_ms,absolute value,"RMSSD, ms (before, sit, full)",RMSSD_ms,ecg_raw_rest_before||absolute||before/sit/full||hrv_time__RMSSD_ms||RMSSD_ms,reject,False,low_abs_spearman;low_bootstrap_stability
75,ecg_breath_before::breath_in_response_before__hrv_time__RMSSD_ms__percent_delta,22,22,1.0,22,22,-57.739515609720094,30.99817360626967,-96.07465664010576,20.715663384793057,0.02776835633507057,0.9023718915101618,-0.039626508421482555,0.8610138684572874,0.02776835633507057,0.039626508421482555,0.0,-0.05062960062372119,-0.46674581503753637,0.4496277683580954,0.574,ecg_breath_before,HRV time,breath_in_response_before,Inhale breath-hold response before training,hrv_time__RMSSD_ms,percent change,"Inhale breath-hold response before training: RMSSD, ms — percent change",relative_change,ecg_breath_before||breath_in_response_before||Inhale breath-hold response before training||hrv_time__RMSSD_ms||relative_change,reject,False,low_abs_spearman;low_bootstrap_stability
76,ecg_raw_rest_before::before__long__full__morph_qrs__QRS_main_amp,22,7,0.3181818181818182,7,7,355.1802853091721,3.1525832554102298,350.5365100437574,359.0706854924035,-0.2907022392008607,0.5270742718803133,-0.03603749850782236,0.9388605613942139,0.2907022392008607,0.03603749850782236,0.06428571428571472,-0.01818181818181818,-0.8847946725860156,0.9701425001453319,0.503006012024048,ecg_raw_rest_before,ECG raw,absolute,before/long/full,morph_qrs__QRS_main_amp,absolute value,"QRS main amplitude (before, long, full)",QRS_main_amp,ecg_raw_rest_before||absolute||before/long/full||morph_qrs__QRS_main_amp||QRS_main_amp,reject,False,low_valid_fraction;low_abs_spearman;low_bootstrap_stability
77,ecg_raw_rest_before::before__sit__full__hrv_time__pNN50_percent,22,21,0.9545454545454546,21,20,12.042836165427238,6.09979363524809,1.694915254237288,24.193548387096776,0.0024377878021002966,0.9916325393730442,-0.020521242313538485,0.9296456863619542,0.0024377878021002966,0.020521242313538485,0.04463064353046731,-0.04517000491728182,-0.44989668650721343,0.37470888409781417,0.58,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_time__pNN50_percent,absolute value,"pNN50, % (before, sit, full)",pNN50_percent,ecg_raw_rest_before||absolute||before/sit/full||hrv_time__pNN50_percent||pNN50_percent,reject,False,low_abs_spearman;low_bootstrap_stability
78,ecg_orthostatic_before::orthostatic_before__hrv_time__MeanHR_bpm__percent_delta,22,22,1.0,22,22,28.85240911039314,7.920657057387585,16.209970809009132,44.8959116038434,-0.111757783476276,0.6204953969413416,-0.013020138481344269,0.9541411245707293,0.111757783476276,0.013020138481344269,0.0,-0.02540341789858524,-0.48330741599762583,0.45915158924160093,0.53,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__MeanHR_bpm,percent change,"Orthostatic response before training: Mean heart rate, bpm — percent change",relative_change,ecg_orthostatic_before||orthostatic_before||Orthostatic response before training||hrv_time__MeanHR_bpm||relative_change,reject,False,low_abs_spearman;low_bootstrap_stability
